=== Guidance Debug Log ===
[Step 01] raw_guidance*w=0.001717, ms_guidance=0.001007, w=3.016417
[Step 02] raw_guidance*w=0.001714, ms_guidance=0.000997, w=3.016417
[Step 03] raw_guidance*w=0.001711, ms_guidance=0.000996, w=3.016417
[Step 04] raw_guidance*w=0.001709, ms_guidance=0.000989, w=3.016417
[Step 05] raw_guidance*w=0.001709, ms_guidance=0.000991, w=3.016417
[Step 06] raw_guidance*w=0.001711, ms_guidance=0.000994, w=3.016417
[Step 07] raw_guidance*w=0.001713, ms_guidance=0.001008, w=3.016417
[Step 08] raw_guidance*w=0.001721, ms_guidance=0.001039, w=3.016417
[Step 09] raw_guidance*w=0.001723, ms_guidance=0.001034, w=3.016417
[Step 00] raw_guidance*w=0.001690, ms_guidance=0.001069, w=3.002839
[Step 01] raw_guidance*w=0.001689, ms_guidance=0.001064, w=3.002839
[Step 02] raw_guidance*w=0.001690, ms_guidance=0.001055, w=3.002839
[Step 03] raw_guidance*w=0.001692, ms_guidance=0.001045, w=3.002839
[Step 04] raw_guidance*w=0.001696, ms_guidance=0.001039, w=3.002839
[Step 05] raw_guidance*w=0.001703, ms_guidance=0.001028, w=3.002839
[Step 06] raw_guidance*w=0.001713, ms_guidance=0.001025, w=3.002839
[Step 07] raw_guidance*w=0.001724, ms_guidance=0.001034, w=3.002839
[Step 08] raw_guidance*w=0.001739, ms_guidance=0.001086, w=3.002839
[Step 09] raw_guidance*w=0.001748, ms_guidance=0.001101, w=3.002839
[Step 00] raw_guidance*w=0.001711, ms_guidance=0.000970, w=3.024329
[Step 01] raw_guidance*w=0.001704, ms_guidance=0.000964, w=3.024329
[Step 02] raw_guidance*w=0.001699, ms_guidance=0.000965, w=3.024329
[Step 03] raw_guidance*w=0.001697, ms_guidance=0.000971, w=3.024329
[Step 04] raw_guidance*w=0.001694, ms_guidance=0.000970, w=3.024329
[Step 05] raw_guidance*w=0.001694, ms_guidance=0.000974, w=3.024329
[Step 06] raw_guidance*w=0.001698, ms_guidance=0.000962, w=3.024329
